id,name,common_flg,varietal_type,description
1,Airen,N,White,"By acreage the most widely planted white varietal in Spain, and the world as well."
2,Albalonga,N,Red,"German crossing known for producing rich if undistinguished dessert wines."
3,Albarino,N,White,"The great white grape of Galicia in northeastern Spain, which shows many characteristics of the riesling, but with a bit of honeysuckle in the nose that?s more reminiscent of viognier."
4,Alvarinho,N,Red,"The Portuguese name for the immediately above from which vinho verde is created."
5,"Alicante Bouschet",N,Red,"Nearly unique among red wine grapes, in that its juice is not white?solid pinkish, rather. Good CA blender."
6,Aligote,N,White,"The second-tier grape of white burgundy, frequently dosed with creme de cassis to make kir."
7,Barbera,Y,Red,"Aggressive high-acid Piemontese red wine varietal, more suited to red sauce or red meat than to simple sipping."
8,Blaufrankisch,N,Red,"Among the more interesting of the Austrian red varietals, solid body, good straightforward flavors, picks up earth tones well."
9,Brachetto,N,Red,"A red Muscat variety producing slightly fizzy low-alcohol dessert reds in Piemonte"
10,"Cabernet Franc",Y,White,"Very useful Bordeaux blender, softens the cabernet sauvignon in Medoc blends. Stands alone as a soft, luxuriant, chocolatey red in CA, food-friendly middleweight in France?s Anjou and Tourane."
11,"Cabernet Sauvignon",Y,Red,"The great red grape of the Medoc, makes pretty decent wine in California and Australia, as well."
12,Carignane/Carinena,Y,Red,"Southern France & California for the first spelling, and Spain for the second, ripens rather well, full body."
13,Carminere,N,Red,"A substantial chunk of Chilean merlot has recently been shown to be this vanished sixth Bordeaux varietal."
14,Catawba,N,Red,"Good ?ol old fashioned Yankee grape. Nothing special."
15,Chambourcin,N,Red,"Hybrid varietal planted on the east coast USA; some pleasant aromatics, blends decently with pinot noir."
16,Chardonnay,Y,White,"Charter member of the champagne trio, where it absolutely shines as a stand-alone and a blender. Great white burgundies, not-so-great-but-still-yummy white burgundies, honking big California and Australian whites?"
17,Chasselas/Gutedel,N,White,"Light white with considerable terroir interest in Alsace and Switzerland under the former name, appears in Rheinhessen as the latter."
18,"Chenin Blanc",Y,White,"Number one great white of the France?s Loire valley, long-living whites both dry and moelleux from Coteau de Layon and Vouvray, (also good value sparklers) and august dry white from Savennieres."
19,Cinsault,Y,Red,"Rhone valley blending red. Member of the Chateauneuf-du-Pape crew."
20,Corvina,N,Red,"A good chunk of what goes into Valpolicella, Amarone, and Bardolino."
21,Counoise,N,Red,"Rhone valley blending red. Member of the Chateauneuf-du-Pape crew."
22,Dolcetto,Y,Red,"Piemonte varietal producing luxuriously textured softish zaftig reds."
23,Dornfelder,Y,Red,"Rheinpfalz reds of some character, earthy and showing a bit of spice."
24,Duriff,N,Red,"French minor-leaguer once thought to be same as CA?s Petite Syrah."
25,Dunkelfelder,N,Red,"German red, not invariably awful, but rarely of interest."
26,Ehrenfelser,N,White,"Rheingau crossing, some interesting spicy white wines."
27,"Folle blanche",N,Red,"French sort best used for distilling into firewater."
28,"French colombard",Y,White,"Southern French, also used for brandy, widely planted for California jug-whites."
29,Gamay,Y,Red,"(Un)fortunately banned in Burgundy (ca. 1486) by Duke Zorro the Vivisector, this cat beat it south to Beaujolais where he flourishes in the pretty weather. Can be made into real wine (Morgon, Moulin-a-Vent) as well as the dreaded Nouveau."
